date,tweet
2022-02-25,"Kepala Staf Kepresidenan (KSP) Moeldoko mengatakan pemindahan Ibu Kota Negara (IKN) ke Kaltim tak akan mengabaikan sumber daya manusia (SDM) setempat. 

Baik mulai dari awal pembangunan, hingga sistem pemerintahan berjalan kelak.
@Dr_Moeldoko 
@KSPgoid 

https://t.co/C3Rkxw1g7L"
2022-02-25,"Anggota DPR RI TB Hasanuddin menjelaskan 2 syarat bagi seseorang untuk menjadi Kepala Otorita Ibu Kota Negara (IKN) Nusantara.

https://t.co/LFyDMgfo0K #pdiperjuangan"
2022-02-25,"Siapkan Pembangunan Ibu Kota Negara, Pemerintah Susun Rencana Kerja dan Pastikan Status Kawasan Inti dan Pengembangan IKN Clean and Clear.

Berita selengkapnya kunjungi https://t.co/fTMc7VIUNZ https://t.co/9dkn6aXFRA"
2022-02-25,"Repost @atr_bpn 
Siapkan Pembangunan Ibu Kota Negara, Pemerintah Susun Rencana Kerja dan Pastikan Status Kawasan Inti dan Pengembangan IKN Clean and Clear.

Berita selengkapnya kunjungi https://t.co/qeDZFYEYUu https://t.co/OzNxdwRkL1"
2022-02-25,da Rabu (23/02/2022). Diskusi yang digagas oleh Komisi Pemberantasan Korupsi (KPK) ini membahas terkait penyusunan rencana kerja untuk memastikan status kawasan inti dan pengembangan Ibu Kota Negara (IKN) berstatus clean and clear. https://t.co/krluo2i6td
2022-02-25,"Siapkan Pembangunan Ibu Kota Negara, Pemerintah Susun Rencana Kerja dan Pastikan Status Kawasan Inti dan Pengembangan IKN Clean and Clear.

Berita selengkapnya kunjungi https://t.co/2fvu9sUeeh https://t.co/IEO0Y896fW"
2022-02-25,"""IKN (Ibu Kota Negara) Nusantara merupakan ide gemilang dan visioner dari Presiden Joko Widodo yang akan menjadi lokomotif transformasi Indonesia di masa mendatang.""

BUDI GUNAWAN Kepala Badan Intelijen Negara
#DukungIKNusantara https://t.co/S9Reid6rPU"
2022-02-25,"Presiden Joko Widodo menegaskan bahwa pembangunan ibu kota negara (IKN) Nusantara merupakan sebuah lompatan besar untuk melakukan transformasi menuju Indonesia Maju. 
https://t.co/A9FAP9OTBI"
2022-02-25,"Budi Gunawan menegaskan IKN adalah simbol kedaulatan negara. Sejarah penaklukan suatu negara selalu ditandai dengan keberhasilan dalam menduduki ibu kota sebuah negara.
#DukungIKNusantara https://t.co/W05eQfHBvr"
2022-02-25,"IKN adalah simbol kedaulatan negara. Sejarah penaklukan suatu negara selalu ditandai dengan keberhasilan dalam menduduki ibu kota sebuah negara.
#DukungIKNusantara https://t.co/3Zj4wPKLKD"
2022-02-25,"Pidato presiden @jokowi untuk Beranda Nusantara menuju Ibu Kota Negara Baru di RRI 23 Februari 2022. IKN merupakan lompatan transformasi bangsa Indonesia menuju Indonesia Maju. IKN akan benar2 menunjukkan kebesaran bangsa Indonesia, memcerminkan identitas nasional. Check it out! https://t.co/O0Fsb2UdYb"
